mapping,subzone,coordinates,centroids
[],Ang Mo Kio Town Centre,[],"(0.0, 0.0)"
"[{'Y': '38859.2491', 'X': '30325.4448', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHENG SAN - SELETAR EDUCATION CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '39310.0342', 'X': '29808.5828', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHENG SAN CC (COMMUNITY CLUBS)'}, {'Y': '39403.6086', 'X': '30299.0010', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN CENTRE'}, {'Y': '39310.0344', 'X': '29808.5827', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHENG SAN COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '39310.0347', 'X': '29808.5821', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN COMMUNITY CLUB'}, {'Y': '39310.0344', 'X': '29808.5827', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHENG SAN COMMUNITY CLUB (SAM KIOSK)'}, {'Y': '39310.0344', 'X': '29808.5827', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'CHENG SAN COMMUNITY CLUB (WIRELESS HOTSPOTS)'}, {'Y': '39141.7351', 'X': '30520.7220', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN COURT'}, {'Y': '39717.0801', 'X': '29738.6988', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN CREST'}, {'Y': '38879.8520', 'X': '29589.2548', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN FAMILY SERVICE CENTRE'}, {'Y': '38782.8931', 'X': '30478.0700', 'CATEGORY': 'Family', 'SEARCHVAL': 'CHENG SAN FAMILY SERVICE CENTRE (FAMILY SERVICES)'}, {'Y': '38782.8932', 'X': '30478.0697', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN FAMILY SERVICE CENTRE BASIC'}, {'Y': '38983.2588', 'X': '30073.3900', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN FIRE POST'}, {'Y': '38972.9900', 'X': '30036.6557', 'CATEGORY': 'Emergency Preparedness', 'SEARCHVAL': 'CHENG SAN FIRE POST (FIRE POSTS)'}, {'Y': '39516.9035', 'X': '30637.9242', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN GREEN'}, {'Y': '39419.6893', 'X': '30352.5538', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN MARKET & COOKED FOOD CENTRE'}, {'Y': '39419.6889', 'X': '30352.5548', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHENG SAN MARKET & COOKED FOOD CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '39424.9911', 'X': '30722.7048', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN PLACE'}, {'Y': '39393.3439', 'X': '34740.1316', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHENG SAN PUBLIC LIBRARY'}, {'Y': '39397.7100', 'X': '34728.0999', 'CATEGORY': 'Culture', 'SEARCHVAL': 'CHENG SAN PUBLIC LIBRARY (LIBRARIES)'}]",Cheng San,"[(1.2905245117132127, 103.93089307734006), (1.2858500410841585, 103.934943378004), (1.2902851701346412, 103.93578435723359)]","(1.2888865743106708, 103.93387360419256)"
"[{'Y': '38956.3784', 'X': '30522.2826', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON CENTRE'}, {'Y': '39055.7171', 'X': '30224.7808', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON HEIGHTS'}, {'Y': '38919.4168', 'X': '30564.4165', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON MARKET & FOOD CENTRE'}, {'Y': '38916.3639', 'X': '30187.9563', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON RISE'}, {'Y': '38475.9961', 'X': '30773.4649', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON SECONDARY SCHOOL'}, {'Y': '38409.3787', 'X': '30747.9682', 'CATEGORY': 'Community', 'SEARCHVAL': 'CHONG BOON SECONDARY SCHOOL (FRIENDLY BUILDINGS)'}, {'Y': '38892.0008', 'X': '30064.9889', 'CATEGORY': 'Building', 'SEARCHVAL': 'CHONG BOON VIEW'}]",Chong Boon,"[(1.2923046071346829, 103.93176589177406), (1.2896140744788382, 103.9326583862708), (1.2926856636862696, 103.9314337912767)]","(1.291534781766597, 103.93195268977384)"
"[{'Y': '38803.1634', 'X': '28746.0357', 'CATEGORY': 'Community', 'SEARCHVAL': 'KEBUN BAHRU FOOD CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '38825.2324', 'X': '28537.6802', 'CATEGORY': 'Recreation', 'SEARCHVAL': ""KEBUN BAHRU PALMVIEW RESIDENTS' COMMITTEE (WIRELESS HOTSPOTS)""}]",Kebun Bahru,"[(1.276240929878939, 103.9303885862574), (1.2743566309007721, 103.93058681330676)]","(0.8501991869265705, 69.28699179985472)"
"[{'Y': '39761.2370', 'X': '27693.3492', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SEMBAWANG HILLS DRIVE'}, {'Y': '39649.4255', 'X': '27683.8369', 'CATEGORY': 'Building', 'SEARCHVAL': 'SEMBAWANG HILLS ESTATE'}, {'Y': '39376.7889', 'X': '27518.6439', 'CATEGORY': 'Building', 'SEARCHVAL': 'SEMBAWANG HILLS FOOD CENTRE'}, {'Y': '39376.7879', 'X': '27518.6446', 'CATEGORY': 'Environment', 'SEARCHVAL': 'SEMBAWANG HILLS FOOD CENTRE (HAWKER CENTRES)'}]",Sembawang Hills,"[(1.2667204764554902, 103.9389968284248), (1.2666344917129628, 103.93799216300737), (1.2651406447502522, 103.93554237770543)]","(1.266165204306235, 103.9375104563792)"
"[{'Y': '39215.0729', 'X': '28003.3697', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SHANGRI-LA CLOSE'}, {'Y': '32616.5950', 'X': '27269.7317', 'CATEGORY': 'Building', 'SEARCHVAL': 'SHANGRI-LA HOTEL'}, {'Y': '32616.5960', 'X': '27269.7318', 'CATEGORY': 'Community', 'SEARCHVAL': 'SHANGRI-LA HOTEL (FRIENDLY BUILDINGS)'}, {'Y': '32616.5960', 'X': '27269.7318', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'SHANGRI-LA HOTEL (HOTELS)'}, {'Y': '39172.1032', 'X': '27974.7340', 'CATEGORY': 'Building', 'SEARCHVAL': 'SHANGRI-LA PARK'}, {'Y': '39234.4975', 'X': '27899.2644', 'CATEGORY': 'Building', 'SEARCHVAL': 'SHANGRI-LA PLAYGROUND'}, {'Y': '32566.1957', 'X': '27100.7633', 'CATEGORY': 'Building', 'SEARCHVAL': 'SHANGRI-LA RESIDENCES'}, {'Y': '39088.0201', 'X': '27961.5186', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SHANGRI-LA WALK'}, {'Y': '26685.9508', 'X': '25420.7427', 'CATEGORY': 'Building', 'SEARCHVAL': ""SHANGRI-LA'S RASA SENTOSA RESORT & SPA""}, {'Y': '26706.8943', 'X': '25382.3158', 'CATEGORY': 'Recreation', 'SEARCHVAL': ""SHANGRI-LA'S RASA SENTOSA RESORT & SPA, SINGAPORE (HOTELS)""}]",Shangri-La,"[(1.2695243857694627, 103.93408947800934), (1.2628912628340094, 103.87479982966451), (1.2628912637382304, 103.87479983864985)]","(1.265102304113901, 103.89456304877456)"
"[{'Y': '40782.9010', 'X': '27426.8133', 'CATEGORY': 'Building', 'SEARCHVAL': 'TAGORE 23 WAREHOUSE'}, {'Y': '40707.4044', 'X': '27318.0519', 'CATEGORY': 'Building', 'SEARCHVAL': 'TAGORE 8'}, {'Y': '40241.5132', 'X': '27466.4874', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TAGORE AVENUE'}, {'Y': '40942.0365', 'X': '27268.1680', 'CATEGORY': 'Building', 'SEARCHVAL': 'TAGORE BUILDING'}, {'Y': '40986.4960', 'X': '27226.1091', 'CATEGORY': 'CATC', 'SEARCHVAL': 'TAGORE DRIVE'}, {'Y': '40742.1548', 'X': '27342.5054', 'CATEGORY': 'CATD', 'SEARCHVAL': 'TAGORE INDUSTRIAL AVENUE'}, {'Y': '40996.8377', 'X': '27504.2380', 'CATEGORY': 'CATD', 'SEARCHVAL': 'TAGORE LANE'}, {'Y': '40637.8353', 'X': '27535.4133', 'CATEGORY': 'CATD', 'SEARCHVAL': 'TAGORE ROAD'}]",Tagore,"[(1.26430963076404, 103.94817669753324), (1.263326062737094, 103.94749829441051), (1.2646686407456995, 103.94331217636022)]","(1.2641014447489445, 103.94632905610132)"
"[{'Y': '38011.0245', 'X': '30282.2423', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOWNSVILLE PRIMARY SCHOOL'}]",Townsville,"[(1.2901340866514022, 103.92327142237215)]","(0.43004469555046737, 34.64109047412405)"
"[{'Y': '39761.6581', 'X': '32371.2900', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG AMENITIES CENTRE'}, {'Y': '39727.6547', 'X': '32310.8847', 'CATEGORY': 'Community', 'SEARCHVAL': 'YIO CHU KANG AMENITIES CENTRE, 19 SERANGOON NORTH AVENUE 5, SINGAPORE 554913 (AXS STATION)'}, {'Y': '40326.5708', 'X': '29374.4010', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG BUS INTERCHANGE'}, {'Y': '40386.6776', 'X': '28902.4897', 'CATEGORY': 'Community', 'SEARCHVAL': 'YIO CHU KANG CC (COMMUNITY CLUBS)'}, {'Y': '38891.8487', 'X': '32789.9491', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG CHAPEL'}, {'Y': '38891.8479', 'X': '32789.9491', 'CATEGORY': 'Community', 'SEARCHVAL': 'YIO CHU KANG CHAPEL (FRIENDLY BUILDINGS)'}, {'Y': '38887.2919', 'X': '32799.1072', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG CHAPEL KINDERGARTEN'}, {'Y': '38891.8479', 'X': '32789.9491', 'CATEGORY': 'Education', 'SEARCHVAL': 'YIO CHU KANG CHAPEL KINDERGARTEN (KINDERGARTENS)'}, {'Y': '40386.6776', 'X': '28902.4890', 'CATEGORY': 'Community', 'SEARCHVAL': 'YIO CHU KANG COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '40386.6784', 'X': '28902.4888', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG COMMUNITY CLUB'}, {'Y': '40386.6776', 'X': '28902.4890', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'YIO CHU KANG COMMUNITY CLUB (WIRELESS HOTSPOTS)'}, {'Y': '40386.6776', 'X': '28902.4890', 'CATEGORY': 'Community', 'SEARCHVAL': 'YIO CHU KANG CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '40368.3772', 'X': '27986.5930', 'CATEGORY': 'CATD', 'SEARCHVAL': 'YIO CHU KANG DRIVE'}, {'Y': '41476.1638', 'X': '30871.7913', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG FLYOVER'}, {'Y': '40325.2166', 'X': '28475.0732', 'CATEGORY': 'CATE', 'SEARCHVAL': 'YIO CHU KANG GARDENS'}, {'Y': '40294.1157', 'X': '28463.9904', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG GARDENS PLAYGROUND'}, {'Y': '40098.1425', 'X': '28587.5936', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG GREEN'}, {'Y': '39720.7868', 'X': '28737.7137', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG GROVE'}, {'Y': '40553.8102', 'X': '28818.0195', 'CATEGORY': 'Building', 'SEARCHVAL': 'YIO CHU KANG HEIGHTS'}, {'Y': '37670.4234', 'X': '32522.3732', 'CATEGORY': 'CATB', 'SEARCHVAL': 'YIO CHU KANG LINK'}]",Yio Chu Kang,"[(1.3090260579990205, 103.93900235446095), (1.3084797876323997, 103.93869679524234), (1.2819230782867428, 103.94407718158385)]","(1.2998096413060545, 103.94059211042905)"
[],Yio Chu Kang East,[],"(0.0, 0.0)"
[],Yio Chu Kang North,[],"(0.0, 0.0)"
[],Yio Chu Kang West,[],"(0.0, 0.0)"
"[{'Y': '32627.4489', 'X': '39343.3381', 'CATEGORY': 'Building', 'SEARCHVAL': 'BAYSHORE PARK'}, {'Y': '32844.8978', 'X': '39918.1963', 'CATEGORY': 'CATD', 'SEARCHVAL': 'BAYSHORE ROAD'}, {'Y': '32918.1755', 'X': '39887.2157', 'CATEGORY': 'Building', 'SEARCHVAL': 'BAYSHORE TERRACE'}]",Bayshore,"[(1.3720806634356548, 103.87489916497118), (1.3772794390130725, 103.87685319174933), (1.3769992494414647, 103.8775116401296)]","(1.3754531172967306, 103.87642133228337)"
